ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
427,flyuhMxS,203,1.00,162.5,0.94,76%,105.8,0.58,0.39,0.06,0.04,28%,,20,118,125,79,12,9
428,Alucard,362,1.00,173.6,0.89,73%,120.3,0.59,0.33,0.06,0.07,24%,13%,20,214,240,119,21,24
429,waleedUG,347,1.00,180.3,1.00,75%,119.3,0.66,0.35,0.04,0.06,38%,11%,23,229,229,123,14,22
430,roodGLRS,375,1.00,167.4,0.94,70%,116.1,0.57,0.21,0.07,0.06,22%,19%,20,213,227,80,25,23
431,OuTLaWSA,517,1.00,181.3,1.03,72%,123.3,0.68,0.27,0.08,0.06,34%,16%,28,352,341,142,40,32
432,EvilkykGLRS,325,1.00,172.3,0.91,73%,117.2,0.61,0.38,0.05,0.06,29%,27%,25,198,218,122,15,20
433,Zap2G,434,0.99,196.7,1.01,70%,139.6,0.68,0.22,0.08,0.07,28%,14%,30,295,292,97,33,31
434,nessGX.GC,426,0.99,194.3,0.96,74%,131.3,0.67,0.31,0.08,0.08,28%,11%,27,285,296,133,36,32
435,AllukaRRQ.K,311,0.99,169.9,0.84,73%,110.0,0.57,0.56,0.04,0.05,24%,10%,17,176,209,174,11,16
436,MovesLFG,314,0.99,187.4,0.93,73%,128.0,0.62,0.32,0.10,0.10,24%,15%,19,195,209,99,30,31
437,ZachKappaCHCH,513,0.99,184.0,1.00,72%,124.9,0.66,0.31,0.06,0.08,31%,11%,25,341,340,158,33,41
438,MeteorGEN,654,0.99,214.6,1.07,70%,143.4,0.77,0.16,0.11,0.11,29%,12%,24,504,472,105,75,69
439,KingDRGN,360,0.99,210.2,0.97,71%,140.7,0.71,0.35,0.08,0.09,20%,10%,26,256,265,125,28,34
440,speedowkaKC.GC,364,0.99,196.6,0.98,72%,128.2,0.71,0.36,0.09,0.08,33%,23%,26,257,262,132,33,30
441,KuripuuyaKC.GC,364,0.99,181.1,0.92,68%,122.4,0.62,0.32,0.08,0.06,26%,16%,24,226,246,117,29,22
442,didiiMDK,278,0.99,182.5,0.94,73%,122.7,0.65,0.44,0.06,0.07,24%,11%,21,181,192,123,16,19
443,ray4cAE,291,0.99,224.4,1.03,75%,142.3,0.76,0.22,0.12,0.14,11%,21%,26,220,214,63,35,40
444,SevkaanIrre,216,0.99,218.1,1.07,67%,145.6,0.78,0.17,0.11,0.10,28%,17%,25,169,158,37,23,22
445,ManggongSRP,200,0.99,183.8,0.91,72%,119.5,0.65,0.31,0.06,0.07,31%,17%,25,129,141,62,11,14
446,starxoKOI,239,0.99,190.3,0.93,75%,123.4,0.65,0.48,0.10,0.11,23%,19%,25,156,168,115,23,26
447,ParadoxRVNT,343,0.99,198.8,1.06,71%,129.1,0.73,0.23,0.10,0.10,26%,15%,25,252,237,79,34,36
448,CLZFL,400,0.99,193.2,0.93,73%,123.7,0.67,0.32,0.05,0.08,29%,17%,24,269,288,128,20,31
449,AnqRGES,212,0.99,210.2,1.02,64%,140.1,0.72,0.13,0.13,0.12,29%,18%,25,153,150,27,28,26
450,songryxyz,362,0.99,198.5,0.94,70%,128.8,0.69,0.40,0.10,0.11,29%,6%,28,250,267,146,38,39
451,iZuT1,329,0.99,188.4,0.92,71%,124.2,0.66,0.38,0.10,0.11,28%,24%,26,218,237,124,34,35
452,sayooGRY,390,0.99,188.1,0.97,73%,126.1,0.67,0.21,0.11,0.09,26%,14%,21,261,269,83,44,35
453,deNaroRED,496,0.99,168.4,0.87,73%,109.7,0.58,0.34,0.06,0.07,24%,21%,21,286,327,169,29,36
454,RussGE,244,0.99,188.8,0.99,72%,122.0,0.68,0.30,0.08,0.09,42%,24%,21,165,167,73,19,21
455,misuPAW,512,0.99,195.7,0.94,71%,128.8,0.68,0.34,0.05,0.07,23%,19%,24,347,369,176,26,35
456,clutchyyMc,221,0.99,218.7,1.03,74%,146.7,0.76,0.25,0.11,0.10,26%,5%,27,169,164,55,25,21
457,noumitKOPF,301,0.99,182.1,0.97,66%,125.5,0.64,0.20,0.07,0.06,21%,18%,24,193,198,59,21,18
458,sh1nKC,424,0.98,172.4,0.95,77%,107.8,0.62,0.38,0.06,0.07,28%,10%,22,263,277,163,27,29
459,raymenAZN,518,0.98,192.9,1.01,73%,132.6,0.69,0.22,0.05,0.05,26%,13%,26,357,355,116,26,24
460,PaincakesTWT,260,0.98,196.5,0.96,68%,125.9,0.68,0.32,0.09,0.10,35%,15%,31,178,186,83,23,27
461,gloveeGAL,370,0.98,180.9,0.92,73%,117.1,0.62,0.36,0.08,0.10,22%,9%,21,230,250,134,28,38
462,Add3rTTR,272,0.98,181.7,0.93,68%,122.3,0.65,0.25,0.07,0.09,32%,11%,19,176,189,69,20,24
463,satelliteVLYN,225,0.98,206.9,0.99,71%,137.7,0.72,0.19,0.22,0.17,21%,7%,20,161,163,42,50,38
464,globeXCHCH,513,0.98,188.6,0.95,72%,125.9,0.67,0.35,0.09,0.09,26%,10%,28,343,362,177,47,48
465,Noor,555,0.98,173.4,0.95,72%,116.2,0.62,0.32,0.06,0.08,27%,24%,24,345,362,178,34,44
466,SmoggyEDG,349,0.98,206.7,1.17,73%,127.9,0.76,0.34,0.09,0.06,29%,11%,24,265,227,119,14,9
467,AryuTRS,396,0.98,182.4,0.98,71%,128.2,0.66,0.17,0.06,0.09,26%,11%,25,261,267,68,22,35
468,ANGE1NAVI,227,0.98,191.5,0.95,69%,126.6,0.67,0.30,0.12,0.10,33%,8%,25,153,161,68,27,23
469,kevFish,262,0.98,224.7,1.08,70%,141.4,0.79,0.16,0.16,0.15,25%,16%,27,208,192,42,43,38
470,Demon1NRG,219,0.98,204.1,0.95,71%,140.5,0.70,0.19,0.18,0.19,37%,16%,21,154,162,41,40,41
471,pryze2G,434,0.98,175.8,0.92,74%,118.8,0.61,0.34,0.06,0.06,22%,16%,22,266,290,147,25,28
472,6sonyaO1O,313,0.98,178.9,0.91,72%,122.8,0.63,0.34,0.11,0.09,23%,14%,24,198,218,107,33,28
473,ExcaliMDL,367,0.98,208.8,0.95,65%,139.6,0.73,0.19,0.14,0.14,31%,3%,25,269,282,70,52,53
474,JiniHEIZ,301,0.98,188.5,0.96,71%,126.2,0.67,0.27,0.05,0.09,26%,14%,20,201,210,81,15,28
475,UrangoGLRS,375,0.98,206.9,0.95,68%,137.7,0.72,0.30,0.10,0.13,30%,20%,26,270,284,114,39,50
476,evvYFP,209,0.98,224.8,1.04,74%,147.9,0.79,0.30,0.09,0.09,35%,14%,27,166,160,62,19,19
477,MatrixxFKS,237,0.98,189.9,0.94,74%,124.6,0.65,0.34,0.06,0.04,31%,10%,20,155,165,80,15,10
478,Tuli9z,288,0.98,214.0,1.04,69%,144.9,0.76,0.14,0.17,0.19,30%,10%,29,218,210,41,49,54
479,CloudGX,281,0.98,192.0,1.00,71%,127.9,0.70,0.26,0.08,0.06,24%,10%,26,196,196,73,22,16
480,Pa1zeDIA,290,0.98,229.2,1.00,67%,149.9,0.79,0.17,0.17,0.22,23%,13%,29,228,229,50,49,64
481,rawfiulMLT,244,0.98,174.4,0.88,69%,118.5,0.60,0.36,0.06,0.09,32%,9%,18,146,165,89,15,23
482,NearUNT,290,0.98,195.9,1.00,69%,123.1,0.70,0.21,0.07,0.06,26%,9%,21,204,204,61,19,18
483,ImpactSLT,308,0.97,207.8,1.00,69%,135.9,0.76,0.21,0.15,0.11,35%,21%,23,233,234,65,45,33
484,ting2k5FPT,230,0.97,194.7,1.01,69%,130.9,0.73,0.14,0.13,0.16,29%,20%,28,167,165,33,31,36
485,emluoPAW,512,0.97,199.3,0.97,70%,130.4,0.71,0.29,0.09,0.08,40%,19%,22,363,373,151,44,43
486,daprSEN,218,0.97,190.0,0.91,72%,128.9,0.62,0.32,0.06,0.09,20%,6%,28,136,150,69,12,19
487,tesseractMLT,244,0.97,210.6,1.03,69%,138.5,0.75,0.22,0.10,0.12,29%,11%,26,182,176,54,24,29
488,vAgueUNT,359,0.97,232.5,1.05,65%,149.2,0.84,0.13,0.19,0.22,34%,16%,31,300,287,46,69,79
489,GovernorTLN,222,0.97,203.0,1.01,68%,133.8,0.71,0.14,0.15,0.17,26%,27%,21,157,155,31,34,37
490,JustnatioNNUNT,325,0.97,199.0,0.98,68%,124.0,0.71,0.33,0.13,0.10,23%,11%,28,231,236,108,41,31
491,yiinelFish,330,0.97,175.2,0.89,71%,116.8,0.61,0.33,0.08,0.09,28%,18%,24,202,228,109,25,28
492,SacySEN,700,0.97,178.5,0.90,73%,117.9,0.61,0.38,0.06,0.08,27%,12%,23,428,474,269,45,57
493,KarraFLY.R,232,0.97,181.3,0.89,74%,122.5,0.60,0.31,0.08,0.06,35%,16%,19,140,158,71,18,14
494,westsideDIA,290,0.97,190.2,1.04,71%,130.0,0.71,0.17,0.06,0.06,35%,26%,26,205,198,50,17,18
495,SerialKillerAimb,513,0.97,212.9,1.02,70%,142.9,0.76,0.18,0.12,0.11,39%,9%,31,391,383,91,63,56
496,skyppervzFG,316,0.97,174.8,0.94,71%,118.4,0.60,0.37,0.07,0.11,34%,17%,24,190,203,116,22,34
497,matrixKC.GC,364,0.97,214.1,0.99,69%,142.1,0.75,0.16,0.18,0.17,34%,21%,26,273,277,59,66,61
498,TiceySNS,244,0.97,216.3,0.91,70%,147.1,0.71,0.24,0.17,0.19,17%,4%,22,174,191,58,41,46
499,CreamydreamySNS,244,0.97,185.2,0.89,70%,122.3,0.66,0.43,0.08,0.06,29%,8%,22,160,180,104,19,14
500,YotaaAKR,240,0.97,205.0,1.06,65%,139.1,0.75,0.13,0.13,0.15,28%,23%,25,181,170,32,31,36
501,maestr0XLD,302,0.97,208.4,1.01,64%,140.7,0.75,0.22,0.08,0.09,30%,14%,24,226,223,67,24,28
502,RexonEYG,307,0.97,190.9,1.00,72%,126.9,0.69,0.25,0.07,0.07,25%,6%,23,212,212,76,22,23
503,nihggoVENI,266,0.97,214.2,0.98,71%,144.2,0.74,0.25,0.09,0.13,26%,19%,33,198,202,67,23,34
504,gioFG,316,0.97,178.7,0.95,67%,122.1,0.65,0.20,0.08,0.05,31%,15%,21,204,214,63,25,17
505,SacakeVLNT,207,0.97,186.9,0.91,70%,131.1,0.64,0.29,0.10,0.09,27%,10%,25,132,145,60,20,19
506,A1mlyUG,597,0.97,208.9,0.98,68%,141.1,0.74,0.18,0.11,0.12,35%,22%,32,440,448,107,65,74
507,RYRYARC,240,0.97,220.5,1.02,66%,147.9,0.76,0.21,0.11,0.11,23%,4%,25,182,179,50,26,27
508,appAKOPF,301,0.97,215.9,1.04,66%,143.7,0.78,0.18,0.16,0.15,26%,4%,29,235,226,53,47,45
509,seph1rothMITH,256,0.97,181.6,0.96,68%,125.3,0.66,0.22,0.06,0.09,37%,28%,27,170,177,56,15,24
510,ExirstEDGE,305,0.97,204.1,0.95,69%,136.9,0.71,0.17,0.11,0.10,28%,11%,26,217,229,51,33,32
511,lz2G,434,0.97,182.9,0.94,69%,118.3,0.64,0.29,0.08,0.10,37%,23%,20,276,294,124,34,43
512,qw1FF,243,0.97,209.0,1.06,67%,132.0,0.77,0.15,0.16,0.20,28%,14%,23,186,175,36,40,49
513,DivineSGP,274,0.96,186.0,0.90,73%,121.1,0.63,0.41,0.08,0.07,26%,7%,24,173,192,112,23,18
514,aprotoTSM,236,0.96,184.8,1.00,69%,125.7,0.68,0.15,0.03,0.06,42%,18%,20,160,160,36,8,13
515,xccurateT1,329,0.96,178.2,1.02,72%,119.3,0.68,0.16,0.07,0.08,27%,9%,21,225,221,53,23,25
516,XanLZE,274,0.96,212.7,1.00,70%,139.3,0.76,0.20,0.14,0.15,25%,22%,23,207,208,56,38,40
517,AtaKaptanFUT,216,0.96,183.6,0.86,70%,119.7,0.62,0.41,0.09,0.11,24%,15%,19,133,155,89,20,24
518,DepyroGMX,276,0.96,194.9,0.86,69%,131.0,0.64,0.40,0.08,0.09,17%,7%,24,178,208,110,22,25
519,KaoticccSaD,222,0.96,231.5,1.05,69%,148.2,0.82,0.14,0.21,0.18,21%,14%,24,181,173,30,47,41
520,SandraGK,625,0.96,181.9,0.90,69%,119.0,0.63,0.27,0.08,0.07,35%,14%,24,393,437,168,50,43
521,KeikoTL,213,0.96,214.8,1.03,67%,142.3,0.76,0.21,0.18,0.17,29%,14%,25,162,158,45,39,37
522,YunoVENI,204,0.96,227.3,1.00,68%,150.5,0.80,0.18,0.20,0.20,32%,27%,28,164,164,36,41,40
523,CTCRED,308,0.96,188.2,1.02,74%,120.2,0.66,0.19,0.07,0.08,24%,16%,22,203,199,58,21,24
524,NeFiPRZ,209,0.96,183.9,0.88,67%,123.5,0.61,0.33,0.05,0.09,29%,4%,26,128,146,68,11,18
525,sayuriMIBR,285,0.96,157.6,0.79,74%,101.4,0.52,0.51,0.05,0.05,18%,8%,16,147,187,145,15,14
526,LBYRGES,212,0.96,190.3,0.90,67%,129.8,0.65,0.28,0.06,0.07,38%,18%,27,138,154,59,13,15
527,runneRVIT,276,0.96,225.2,1.00,68%,146.9,0.75,0.25,0.17,0.21,18%,18%,23,208,209,70,46,58
528,Fit1nhoGX,281,0.96,191.4,0.90,70%,128.3,0.64,0.27,0.10,0.10,32%,7%,21,179,198,77,28,29
529,LuzuhOVA,216,0.96,211.2,1.01,68%,138.8,0.76,0.13,0.22,0.19,22%,9%,22,165,163,27,48,41
530,skillZRVNT,292,0.96,183.9,1.00,71%,121.7,0.66,0.27,0.05,0.08,26%,19%,26,194,194,78,16,23
531,Elab0rateSols,249,0.96,211.2,0.95,67%,140.2,0.71,0.20,0.09,0.09,18%,7%,26,178,187,49,22,22
532,KssarVIS,423,0.96,218.7,0.96,66%,147.0,0.74,0.18,0.18,0.17,25%,3%,26,313,327,78,78,74
533,ElixlloGK,364,0.96,202.7,0.96,70%,135.8,0.68,0.25,0.05,0.10,30%,19%,21,248,259,92,19,37
534,FamzzamSNS,244,0.96,180.9,0.97,70%,114.2,0.66,0.26,0.06,0.07,23%,15%,22,160,165,63,15,16
535,fausTaoARF,272,0.96,228.7,0.96,67%,152.4,0.77,0.19,0.19,0.16,25%,29%,27,209,218,52,53,44
536,PainIluZ,216,0.96,171.6,0.96,74%,116.5,0.61,0.35,0.04,0.05,31%,24%,19,132,138,76,9,11
537,KlausKRÜ,211,0.96,175.9,0.88,76%,116.3,0.59,0.33,0.11,0.09,23%,14%,16,125,142,69,23,20
538,BLOD,325,0.95,206.3,0.91,68%,139.0,0.70,0.33,0.11,0.10,31%,12%,25,229,251,108,35,34
539,NahsieWU,324,0.95,178.1,0.88,71%,119.1,0.64,0.47,0.06,0.10,28%,17%,24,207,234,151,18,32
540,infTM,210,0.95,190.9,1.01,66%,129.3,0.70,0.13,0.12,0.10,24%,15%,27,148,147,28,26,21
541,snarly,201,0.95,177.8,0.88,72%,126.4,0.62,0.47,0.08,0.09,31%,22%,22,124,141,94,16,18
542,brock,202,0.95,204.8,0.89,66%,137.4,0.68,0.32,0.12,0.12,21%,8%,25,138,155,65,25,24
543,sacredYFP,222,0.95,198.6,0.96,67%,133.7,0.71,0.23,0.10,0.09,36%,16%,24,158,164,52,23,21
544,nerveQOR,201,0.95,172.1,0.92,74%,112.3,0.60,0.41,0.04,0.05,22%,32%,21,121,132,82,8,11
545,SmurfetteGX.GC,426,0.95,206.6,0.95,68%,139.3,0.73,0.18,0.16,0.18,26%,12%,29,313,328,78,69,78
546,NDGTS,338,0.95,187.4,0.94,70%,122.3,0.67,0.23,0.09,0.06,24%,6%,22,227,242,77,31,19
547,forbanzXLD,302,0.95,215.9,0.95,68%,147.3,0.74,0.19,0.15,0.15,22%,7%,27,224,235,58,44,46
548,askooColo,376,0.95,183.1,0.86,72%,116.5,0.65,0.42,0.07,0.08,28%,6%,25,245,284,157,25,31
549,ZachaREEECB,261,0.95,201.0,0.95,66%,134.6,0.72,0.20,0.09,0.13,25%,17%,24,189,198,53,24,34
550,AustralisFT S,247,0.95,198.0,0.94,70%,136.6,0.71,0.30,0.12,0.11,24%,21%,26,176,187,75,29,28
551,nAtsTL,213,0.95,196.5,1.02,72%,130.7,0.70,0.24,0.08,0.09,28%,14%,21,149,146,52,16,19
552,GunterR,205,0.95,191.2,0.89,68%,125.0,0.65,0.31,0.09,0.08,34%,12%,23,134,151,64,19,16
553,N A I SGMT,276,0.95,177.2,1.00,67%,120.1,0.67,0.13,0.08,0.07,25%,15%,27,185,185,35,22,18
554,hypathorOF,231,0.95,177.5,0.85,66%,118.8,0.58,0.35,0.08,0.12,21%,24%,19,135,159,80,18,27
555,JuicyDSG,248,0.95,212.0,1.01,67%,131.9,0.73,0.17,0.19,0.21,20%,25%,21,182,181,41,46,53
556,benjiithe,307,0.95,186.6,0.94,65%,125.7,0.67,0.21,0.09,0.09,21%,15%,21,206,218,65,28,27
557,shelbyNEBG,535,0.95,187.1,0.99,70%,124.1,0.67,0.19,0.07,0.07,29%,9%,24,359,364,104,39,37
558,budimeisteRBME,291,0.95,177.8,0.89,77%,114.5,0.61,0.43,0.07,0.05,30%,13%,23,177,198,124,19,16
559,xelouzUNT,359,0.95,173.4,0.85,75%,114.3,0.58,0.44,0.03,0.02,27%,20%,18,209,245,158,9,8
560,demek,209,0.95,223.9,1.01,64%,154.1,0.79,0.12,0.19,0.17,27%,,32,166,165,26,40,36
561,55EEJDG,204,0.95,226.8,1.06,68%,149.5,0.82,0.10,0.23,0.17,32%,10%,24,168,159,21,46,34
562,DerrekEG,280,0.95,183.2,0.95,68%,124.6,0.66,0.27,0.05,0.04,33%,20%,26,184,194,76,13,12
563,msh,209,0.95,196.6,1.01,63%,138.6,0.73,0.15,0.08,0.10,37%,10%,30,152,151,32,16,20
564,WavySRP,200,0.95,181.4,0.89,72%,117.4,0.64,0.42,0.07,0.12,20%,19%,23,128,144,84,13,23
565,LouitanOVA,216,0.95,204.7,0.96,69%,128.6,0.72,0.21,0.09,0.13,25%,25%,23,156,162,46,19,27
566,thiefYFP,201,0.94,170.3,0.89,70%,114.5,0.62,0.35,0.06,0.05,29%,19%,25,125,141,70,12,11
567,arcaea,216,0.94,169.8,0.96,70%,111.8,0.64,0.37,0.05,0.07,30%,21%,30,139,145,79,11,16
568,DisisJohnFKS,237,0.94,199.0,0.91,67%,135.5,0.70,0.16,0.19,0.17,27%,,24,166,183,39,46,40
569,symTSM,236,0.94,219.3,0.96,67%,147.1,0.75,0.22,0.20,0.19,27%,14%,24,177,184,51,47,46
570,drakoNzLGCY,419,0.94,176.9,0.89,68%,118.4,0.62,0.32,0.07,0.10,31%,13%,30,258,290,136,31,40
571,ion2xTOR,238,0.94,211.0,1.01,70%,140.4,0.76,0.20,0.17,0.13,27%,11%,27,180,178,47,41,32
572,CurumiFL.GC,277,0.94,188.3,0.88,69%,118.4,0.63,0.40,0.11,0.08,20%,17%,23,175,200,110,30,22
573,Pa1ntFCN,272,0.94,223.1,0.96,68%,144.5,0.76,0.18,0.22,0.19,24%,22%,26,208,216,49,61,51
574,KongiNXT,307,0.94,186.0,0.95,68%,134.5,0.67,0.26,0.07,0.08,28%,23%,24,205,215,80,23,26
575,NXBLETAMU,225,0.94,184.8,0.91,72%,120.0,0.65,0.31,0.10,0.08,25%,9%,20,147,161,69,23,19
576,PoetiteSurr,555,0.94,181.6,0.87,71%,119.4,0.63,0.35,0.09,0.12,27%,12%,27,350,403,196,51,68
577,XhowiMR,289,0.94,196.0,0.97,66%,128.5,0.69,0.19,0.09,0.12,38%,12%,24,199,206,55,23,32
578,xannSNG,512,0.94,244.4,1.00,67%,163.6,0.82,0.20,0.22,0.21,29%,10%,28,422,422,104,114,109
579,neptuneTWT,260,0.94,192.3,0.88,73%,121.5,0.67,0.43,0.10,0.08,27%,10%,21,175,200,112,25,20
580,SEIDERFKS,237,0.94,158.1,0.89,71%,103.7,0.57,0.34,0.05,0.10,35%,20%,20,134,151,81,11,23
581,DaFtVIC,204,0.94,214.5,0.96,69%,144.9,0.74,0.26,0.13,0.17,22%,7%,26,150,156,53,26,34
582,mindfreakPRX,562,0.94,177.8,0.95,70%,118.8,0.64,0.28,0.04,0.08,35%,7%,26,361,381,158,22,46
583,vltDRGN,360,0.94,210.1,0.95,64%,136.3,0.75,0.17,0.13,0.14,30%,19%,23,269,284,60,47,50
584,izanaColo,376,0.94,161.8,0.91,73%,109.0,0.59,0.18,0.07,0.08,24%,11%,25,222,244,67,28,30
585,RvKRGES,212,0.94,188.2,0.83,66%,132.2,0.64,0.29,0.09,0.11,37%,19%,23,136,163,61,19,24
586,vanityC9,228,0.94,169.3,0.84,74%,111.3,0.58,0.43,0.09,0.10,21%,14%,17,132,157,99,20,22
587,DARKMEC,202,0.94,211.2,0.96,61%,137.8,0.74,0.15,0.14,0.18,26%,21%,31,150,156,30,29,37
588,ZKMU,233,0.94,178.5,0.91,72%,119.4,0.64,0.32,0.03,0.06,38%,16%,20,149,163,74,7,15
589,MuzzBOBO,455,0.94,183.3,0.95,67%,125.0,0.65,0.21,0.07,0.11,30%,19%,26,297,314,95,33,50
590,vinaJFT,518,0.94,179.8,0.84,69%,117.9,0.61,0.36,0.09,0.09,28%,11%,22,316,374,188,47,46
591,KntzMITH,256,0.93,175.2,0.87,71%,116.0,0.61,0.35,0.09,0.05,24%,12%,23,156,179,89,23,14
592,kamoKOI,239,0.93,211.9,0.91,66%,136.9,0.72,0.14,0.19,0.18,30%,22%,25,173,191,34,45,42
593,karieSNG,512,0.93,199.2,0.97,69%,132.8,0.71,0.19,0.07,0.07,27%,13%,21,365,378,97,37,35
594,chiwaACE,223,0.93,180.2,0.90,68%,123.3,0.64,0.20,0.07,0.06,26%,17%,24,142,157,44,16,13
595,BooTH,391,0.93,161.8,0.84,71%,103.7,0.57,0.42,0.07,0.08,33%,11%,23,224,266,163,28,32
596,risePAW,512,0.93,168.2,0.84,74%,112.3,0.59,0.45,0.06,0.08,25%,16%,22,304,360,229,30,39
597,mooseC9,228,0.93,163.8,0.92,72%,111.1,0.58,0.20,0.05,0.04,22%,18%,19,133,145,46,11,10
598,pashalime,272,0.93,196.2,0.91,68%,133.1,0.67,0.32,0.07,0.11,23%,14%,24,183,201,86,18,29
599,hellffTRS,396,0.93,178.3,0.85,69%,120.7,0.61,0.31,0.09,0.05,28%,6%,25,241,285,122,36,21
600,YaBoiLewisFKS,237,0.93,220.1,1.00,74%,148.5,0.80,0.21,0.13,0.13,36%,19%,34,190,190,50,30,30
601,ceNderVIT,276,0.93,181.1,0.90,70%,126.3,0.63,0.33,0.08,0.08,26%,10%,23,175,194,91,21,23
602,Mikey TapFG,316,0.93,178.7,0.91,68%,117.0,0.66,0.34,0.07,0.06,33%,10%,20,208,229,108,23,18
603,iBrockyKRAKEN,202,0.93,175.6,0.91,70%,122.5,0.59,0.26,0.05,0.08,21%,12%,20,120,132,52,10,16
604,FREYLZE,274,0.93,180.8,0.95,70%,118.7,0.66,0.18,0.11,0.04,26%,18%,21,180,190,48,30,12
605,Sadeem,341,0.93,188.9,0.96,65%,127.1,0.70,0.22,0.06,0.07,30%,11%,25,238,249,76,21,23
606,SpockiBloo,307,0.93,187.0,0.89,72%,122.1,0.67,0.30,0.08,0.07,37%,24%,28,205,230,93,26,23
607,swagLGCY,419,0.92,165.7,0.86,71%,112.7,0.57,0.21,0.07,0.09,23%,11%,20,238,277,87,29,36
608,CrunchyBOBO,250,0.92,185.8,0.87,69%,123.5,0.64,0.32,0.11,0.12,30%,,21,160,183,81,28,30
609,DazllyVIS,423,0.92,199.3,0.96,65%,138.2,0.71,0.17,0.09,0.09,27%,10%,22,301,315,74,38,38
610,AngeMAD,261,0.92,188.9,0.82,71%,120.6,0.61,0.30,0.08,0.07,22%,14%,17,160,195,79,20,18
611,TempoSNS,244,0.92,196.7,0.92,65%,129.0,0.68,0.20,0.12,0.10,29%,14%,22,166,181,48,30,24
612,AphunSNS,244,0.92,172.1,0.78,69%,108.1,0.58,0.44,0.07,0.09,19%,,18,141,180,107,18,21
613,InumoVCTRY,272,0.92,188.2,0.92,69%,122.6,0.66,0.23,0.07,0.08,28%,3%,24,180,195,62,18,23
614,sarahGX.GC,426,0.92,172.2,0.87,72%,108.7,0.62,0.35,0.06,0.05,35%,17%,24,262,301,150,25,23
615,DanoFSX,201,0.92,188.2,0.85,71%,125.6,0.61,0.47,0.03,0.06,26%,12%,18,123,145,95,7,12
616,CemGHR,385,0.92,195.7,0.88,65%,129.8,0.67,0.31,0.07,0.09,25%,14%,24,258,292,118,28,35
617,AntidoteMLT,244,0.92,177.5,0.99,71%,118.8,0.66,0.18,0.06,0.08,28%,16%,24,162,163,44,15,19
618,LifeFPX,206,0.92,268.0,1.30,64%,157.6,0.96,0.18,0.15,0.15,39%,33%,28,197,152,38,13,13
619,kadiriARC,240,0.92,211.7,0.91,65%,138.0,0.72,0.16,0.14,0.13,31%,20%,25,173,191,38,34,30
620,C0MLEV,230,0.92,157.3,0.79,75%,103.4,0.51,0.30,0.10,0.09,20%,23%,17,117,148,69,22,21
621,Rags2RichesKTS,202,0.92,186.0,0.83,69%,120.7,0.63,0.38,0.08,0.07,26%,18%,20,127,153,76,16,15
622,adenqtARF,283,0.92,203.1,0.89,68%,130.9,0.67,0.31,0.07,0.11,22%,15%,24,191,214,89,21,32
623,jubsMIBR,285,0.92,161.7,0.93,67%,109.7,0.59,0.21,0.06,0.07,23%,16%,18,168,181,61,18,20
624,AndersinBTR,205,0.92,183.8,0.85,69%,121.9,0.62,0.31,0.09,0.09,21%,16%,18,128,150,64,19,19
625,Hakka,209,0.92,161.8,0.84,71%,111.1,0.56,0.28,0.06,0.05,35%,14%,17,117,139,59,12,11
626,NatashaCARA,247,0.92,196.3,1.01,66%,136.3,0.71,0.18,0.09,0.07,38%,9%,31,176,175,45,22,17
627,kAzooTwis,521,0.92,182.3,0.91,69%,118.6,0.66,0.25,0.07,0.13,38%,8%,25,342,376,128,37,67
628,jawgemoEG,280,0.92,217.4,0.94,63%,146.2,0.73,0.15,0.16,0.14,20%,14%,29,205,218,41,46,40
629,theiaFLY.R,542,0.92,150.8,0.79,71%,99.0,0.53,0.40,0.04,0.11,25%,26%,23,286,361,217,24,61
630,UnhappyROA,205,0.92,184.6,0.95,71%,127.1,0.67,0.19,0.09,0.04,26%,17%,20,137,144,38,18,8
631,Caucasus,277,0.92,167.6,0.85,73%,109.5,0.58,0.37,0.06,0.06,24%,6%,22,162,191,103,18,16
632,pryxiNXT,301,0.91,212.3,0.95,64%,138.7,0.76,0.19,0.15,0.15,28%,17%,27,229,242,58,44,44
633,gucc107VLYN,324,0.91,180.1,0.84,71%,122.3,0.60,0.41,0.05,0.05,21%,24%,19,196,234,132,17,16
634,saadhakLOUD,534,0.91,189.9,0.87,70%,127.7,0.62,0.37,0.09,0.13,20%,17%,23,332,382,195,49,68
635,GONFL,400,0.91,177.8,0.87,71%,120.4,0.63,0.37,0.07,0.07,25%,4%,37,253,290,148,28,28
636,CrwsTLN,222,0.91,151.3,0.88,69%,101.7,0.55,0.26,0.04,0.05,26%,13%,17,122,139,57,9,12
637,PyroMIND,226,0.91,190.1,0.85,67%,128.5,0.65,0.24,0.08,0.10,19%,25%,28,148,174,54,18,22
638,nicksz,535,0.91,171.0,0.84,74%,113.6,0.60,0.36,0.09,0.08,24%,20%,24,319,379,190,46,44
639,QuickLOUD,534,0.91,206.6,0.95,65%,134.6,0.73,0.15,0.16,0.17,29%,16%,27,388,410,80,87,91
640,moobsWU,324,0.91,192.1,0.87,69%,124.7,0.66,0.35,0.09,0.10,34%,15%,20,215,247,113,29,34
