ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
304,none9z.GC,250,1.04,252.4,1.10,68%,171.8,0.86,0.19,0.20,0.20,23%,18%,32,216,197,48,50,49
305,GrmekistaDIA,290,1.04,193.1,1.06,72%,126.1,0.67,0.38,0.06,0.08,22%,31%,24,195,184,109,18,24
306,AlessiaMDK,278,1.04,202.5,1.12,66%,134.8,0.74,0.14,0.13,0.14,35%,21%,25,207,185,39,36,38
307,ZimoTwis,521,1.04,205.9,1.05,72%,139.2,0.71,0.29,0.07,0.05,34%,18%,27,371,352,153,37,27
308,MiyoriGX.GC,426,1.04,232.6,1.10,70%,154.4,0.82,0.19,0.15,0.11,28%,22%,35,350,318,80,63,48
309,NabberTAMU,225,1.04,199.4,1.07,71%,130.7,0.72,0.32,0.09,0.08,30%,16%,23,163,153,73,20,19
310,stellarTTR,272,1.04,187.8,1.03,71%,123.3,0.66,0.33,0.03,0.07,23%,13%,23,179,174,90,9,20
311,bonesYFP,265,1.04,222.4,1.04,73%,140.1,0.77,0.27,0.14,0.12,22%,19%,24,203,195,72,36,31
312,v1nnyRED,308,1.04,199.2,1.06,72%,130.9,0.69,0.40,0.06,0.10,33%,16%,21,213,201,124,17,30
313,DepZETA,241,1.04,221.0,1.04,72%,145.5,0.78,0.23,0.15,0.16,28%,24%,29,187,179,55,37,39
314,Dark3stSAD,448,1.04,204.8,1.04,71%,133.6,0.73,0.36,0.11,0.09,28%,16%,30,328,314,162,48,41
315,BlahstZMM.B,330,1.04,182.1,0.94,75%,117.6,0.62,0.44,0.05,0.07,26%,10%,20,206,219,146,15,23
316,romiaFL.GC,277,1.03,204.1,1.10,70%,134.0,0.74,0.19,0.07,0.07,26%,18%,21,204,185,52,20,19
317,stewSFU.P,258,1.03,183.6,1.01,71%,122.8,0.67,0.31,0.05,0.03,30%,20%,20,172,171,79,12,8
318,blaZek1ngGE,244,1.03,198.6,1.03,73%,134.0,0.69,0.30,0.13,0.07,29%,14%,22,169,164,72,31,17
319,LightningfastGE,244,1.03,206.7,1.02,73%,131.0,0.70,0.39,0.09,0.08,33%,20%,24,172,168,95,22,20
320,xfferoRRQ,204,1.03,207.8,1.12,72%,131.7,0.75,0.15,0.10,0.08,31%,16%,23,152,136,30,21,17
321,SayaplayerT1,329,1.03,221.9,1.02,73%,145.7,0.78,0.19,0.19,0.14,26%,15%,24,256,252,63,63,45
322,yuranZETA,241,1.03,206.6,0.95,68%,140.9,0.67,0.35,0.07,0.09,27%,17%,19,162,170,85,17,22
323,lukxoGLRS,375,1.03,200.6,1.04,70%,134.1,0.69,0.30,0.10,0.08,35%,17%,22,260,251,112,37,30
324,TeagueTACO,238,1.03,176.1,0.90,74%,109.1,0.60,0.59,0.07,0.09,20%,,15,143,159,141,16,20
325,Foxy9DRX,205,1.03,176.8,1.11,74%,115.1,0.66,0.26,0.08,0.09,28%,24%,23,136,122,54,16,19
326,FamouzBME,291,1.03,228.2,1.07,71%,154.5,0.78,0.17,0.19,0.21,21%,13%,25,226,212,50,54,60
327,rDeeWJJH,372,1.03,203.2,1.06,67%,137.2,0.72,0.22,0.11,0.08,23%,18%,26,266,251,82,41,31
328,monerR8,320,1.03,185.0,1.06,76%,123.9,0.67,0.25,0.09,0.07,24%,9%,24,213,201,79,28,23
329,CohburgSAD,268,1.03,207.5,1.07,73%,137.5,0.72,0.19,0.14,0.10,26%,12%,23,193,180,50,38,26
330,zeryDIV,307,1.03,222.9,1.04,72%,150.0,0.77,0.24,0.16,0.11,28%,11%,27,236,226,75,50,34
331,RxYaLONLI,259,1.03,191.5,1.06,69%,123.4,0.69,0.16,0.05,0.05,23%,6%,25,180,170,41,14,14
332,gMdTSM,236,1.03,213.5,1.11,74%,140.9,0.76,0.32,0.11,0.08,31%,14%,26,180,162,76,27,19
333,LeViMLT,347,1.03,194.6,1.01,73%,127.6,0.68,0.32,0.09,0.09,29%,13%,25,237,235,112,31,30
334,jademwahNB,429,1.03,226.1,1.10,71%,142.1,0.79,0.27,0.17,0.16,20%,18%,30,340,308,116,73,67
335,TimZMM.B,330,1.03,216.8,1.04,71%,137.0,0.76,0.33,0.08,0.08,25%,16%,30,250,240,109,26,25
