ID,PlayerName,GamesPlayed,KickOffReturns,KickOffReturnYards,AverageYardsPerKickOffReturn,LongestKickOffReturn,KickOffReturnTouchdowns
1,K. Nixon,17,30,782,26.1,51,0
1,X. Gipson,17,22,511,23.2,34,0
